
08/21	NaN	      Nifty 50	      11551.75	      11576.20	      11581.75	      11539.60	      11570.90	         19.15
08/23	NaN	      Nifty 50	      11570.90	      11620.70	      11620.70	      11546.70	      11582.75	         11.85
08/24	NaN	      Nifty 50	      11582.75	      11566.60	      11604.60	      11532.00	      11557.10	        -25.65
08/27	NaN	      Nifty 50	      11557.10	      11605.85	      11700.95	      11595.60	      11691.95	        134.85
08/28	NaN	      Nifty 50	      11691.95	      11731.95	      11760.20	      11710.50	      11738.50	         46.55
08/29	NaN	      Nifty 50	      11738.50	      11744.95	      11753.20	      11678.85	      11691.90	         -46.6
08/30	NaN	      Nifty 50	      11691.90	      11694.75	      11698.80	      11639.70	      11676.80	         -15.1
08/31	NaN	      Nifty 50	      11676.80	      11675.85	      11727.65	      11640.10	      11680.50	           3.7
09/03	NaN	      Nifty 50	      11680.50	      11751.80	      11751.80	      11567.40	      11582.35	        -98.15
09/04	NaN	      Nifty 50	      11582.35	      11598.75	      11602.55	      11496.85	      11520.30	        -62.05
09/05	NaN	      Nifty 50	      11520.30	      11514.85	      11542.65	      11393.85	      11476.95	        -43.35
09/06	NaN	      Nifty 50	      11476.95	      11514.15	      11562.25	      11436.05	      11536.90	         59.95
09/07	NaN	      Nifty 50	      11536.90	      11558.25	      11603.00	      11484.40	      11589.10	          52.2
09/10	NaN	      Nifty 50	      11589.10	      11570.25	      11573.00	      11427.30	      11438.10	          -151
09/11	NaN	      Nifty 50	      11438.10	      11476.85	      11479.40	      11274.00	      11287.50	        -150.6
09/12	NaN	      Nifty 50	      11287.50	      11340.10	      11380.75	      11250.20	      11369.90	          82.4
09/14	NaN	      Nifty 50	      11369.90	      11443.50	      11523.25	      11430.55	      11515.20	         145.3
09/17	NaN	      Nifty 50	      11515.20	      11464.95	      11464.95	      11366.90	      11377.75	       -137.45
09/18	NaN	      Nifty 50	      11377.75	      11381.55	      11411.45	      11268.95	      11278.90	        -98.85
09/19	NaN	      Nifty 50	      11278.90	      11326.65	      11332.05	      11210.90	      11234.35	        -44.55
09/21	NaN	      Nifty 50	      11234.35	      11271.30	      11346.80	      10866.45	      11143.10	        -91.25
09/24	NaN	      Nifty 50	      11143.10	      11164.40	      11170.15	      10943.60	      10967.40	        -175.7
09/25	NaN	      Nifty 50	      10967.40	      10969.95	      11080.60	      10882.85	      11067.45	        100.05
09/26	NaN	      Nifty 50	      11067.45	      11145.55	      11145.55	      10993.05	      11053.80	        -13.65
09/27	NaN	      Nifty 50	      11053.80	      11079.80	      11089.45	      10953.35	      10977.55	        -76.25
09/28	NaN	      Nifty 50	      10977.55	      11008.10	      11034.10	      10850.30	      10930.45	         -47.1
10/01	NaN	      Nifty 50	      10930.45	      10930.90	      11035.65	      10821.55	      11008.30	         77.85
10/03	NaN	      Nifty 50	      11008.30	      10982.70	      10989.05	      10843.75	      10858.25	       -150.05
10/04	NaN	      Nifty 50	      10858.25	      10754.70	      10754.70	      10547.25	      10599.25	          -259
10/05	NaN	      Nifty 50	      10599.25	      10514.10	      10540.65	      10261.90	      10316.45	        -282.8
10/08	NaN	      Nifty 50	      10316.45	      10310.15	      10398.35	      10198.40	      10348.05	          31.6
10/09	NaN	      Nifty 50	      10348.05	      10390.30	      10397.60	      10279.35	      10301.05	           -47
10/10	NaN	      Nifty 50	      10301.05	      10331.85	      10482.35	      10318.25	      10460.10	        159.05
10/11	NaN	      Nifty 50	      10460.10	      10169.80	      10335.95	      10138.60	      10234.65	       -225.45
10/12	NaN	      Nifty 50	      10234.65	      10331.55	      10492.45	      10322.15	      10472.50	        237.85
10/15	NaN	      Nifty 50	      10472.50	      10524.20	      10526.30	      10410.15	      10512.50	            40
10/16	NaN	      Nifty 50	      10512.50	      10550.15	      10604.90	      10525.30	      10584.75	         72.25
10/17	NaN	      Nifty 50	      10584.75	      10688.70	      10710.15	      10436.45	      10453.05	        -131.7
10/19	NaN	      Nifty 50	      10453.05	      10339.70	      10380.10	      10249.60	      10303.55	        -149.5
10/22	NaN	      Nifty 50	      10303.55	      10405.85	      10408.55	      10224.00	      10245.25	         -58.3
10/23	NaN	      Nifty 50	      10245.25	      10152.60	      10222.10	      10102.35	      10146.80	        -98.45
10/24	NaN	      Nifty 50	      10146.80	      10278.15	      10290.65	      10126.70	      10224.75	         77.95
10/25	NaN	      Nifty 50	      10224.75	      10135.05	      10166.60	      10079.30	      10124.90	        -99.85
10/26	NaN	      Nifty 50	      10124.90	      10122.35	      10128.85	      10004.55	      10030.00	         -94.9
10/29	NaN	      Nifty 50	      10030.00	      10078.10	      10275.30	      10020.35	      10250.85	        220.85
10/30	NaN	      Nifty 50	      10250.85	      10239.40	      10285.10	      10175.35	      10198.40	        -52.45
10/31	NaN	      Nifty 50	      10198.40	      10209.55	      10396.00	      10105.10	      10386.60	         188.2
11/01	NaN	      Nifty 50	      10386.60	      10441.70	      10441.90	      10341.90	      10380.45	         -6.15
11/02	NaN	      Nifty 50	      10380.45	      10462.30	      10606.95	      10457.70	      10553.00	        172.55
11/05	NaN	      Nifty 50	      10553.00	      10558.75	      10558.80	      10477.00	      10524.00	           -29
11/06	NaN	      Nifty 50	      10524.00	      10552.00	      10600.25	      10491.45	      10530.00	             6
11/07	NaN	      Nifty 50	      10530.00	      10614.45	      10616.45	      10582.30	      10598.40	          68.4
11/09	NaN	      Nifty 50	      10598.40	      10614.70	      10619.55	      10544.85	      10585.20	         -13.2
11/12	NaN	      Nifty 50	      10585.20	      10607.80	      10645.50	      10464.05	      10482.20	          -103
11/13	NaN	      Nifty 50	      10482.20	      10451.90	      10596.25	      10440.55	      10582.50	         100.3
11/14	NaN	      Nifty 50	      10582.50	      10634.90	      10651.60	      10532.70	      10576.30	          -6.2
11/15	NaN	      Nifty 50	      10576.30	      10580.60	      10646.50	      10557.50	      10616.70	          40.4
11/16	NaN	      Nifty 50	      10616.70	      10644.00	      10695.15	      10631.15	      10682.20	          65.5
11/19	NaN	      Nifty 50	      10682.20	      10731.25	      10774.70	      10688.80	      10763.40	          81.2
11/20	NaN	      Nifty 50	      10763.40	      10740.10	      10740.85	      10640.85	      10656.20	        -107.2
11/21	NaN	      Nifty 50	      10656.20	      10670.95	      10671.30	      10562.35	      10600.05	        -56.15
11/22	NaN	      Nifty 50	      10600.05	      10612.65	      10646.25	      10512.00	      10526.75	         -73.3
11/26	NaN	      Nifty 50	      10526.75	      10568.30	      10637.80	      10489.75	      10628.60	        101.85
11/27	NaN	      Nifty 50	      10628.60	      10621.45	      10695.15	      10596.35	      10685.60	            57
11/28	NaN	      Nifty 50	      10685.60	      10708.75	      10757.80	      10699.85	      10728.85	         43.25
11/29	NaN	      Nifty 50	      10728.85	      10808.70	      10883.05	      10782.35	      10858.70	        129.85
11/30	NaN	      Nifty 50	      10858.70	      10892.10	      10922.45	      10835.10	      10876.75	         18.05
12/03	NaN	      Nifty 50	      10876.75	      10930.70	      10941.20	      10845.35	      10883.75	             7
12/04	NaN	      Nifty 50	      10883.75	      10877.10	      10890.95	      10833.35	      10869.50	        -14.25
