
04/20	HCLTECH	            EQ	       1062.35	       1018.55	           4.3
04/20	INFY	            EQ	       1178.45	       1132.85	          4.03
04/20	COALINDIA	            EQ	        292.05	        283.20	          3.13

04/23	INDUSINDBK	            EQ	       1874.40	       1812.85	           3.4
04/23	M&M	            EQ	        824.30	        799.50	           3.1
04/23	BPCL	            EQ	        381.35	        371.40	          2.68
04/23	HCLTECH	            EQ	       1088.00	       1062.35	          2.41
04/23	CIPLA	            EQ	        600.15	        589.05	          1.88

04/24	RELIANCE	            EQ	        970.05	        936.00	          3.64
04/24	YESBANK	            EQ	        324.00	        313.05	           3.5
04/24	BAJAJFINSV	            EQ	       5427.65	       5294.00	          2.52
04/24	M&M	            EQ	        838.55	        824.30	          1.73
04/24	ICICIBANK	            EQ	        284.10	        279.40	          1.68

04/25	BHARTIARTL	            EQ	        419.85	        406.25	          3.35
04/25	TCS	            EQ	       3470.25	       3385.65	           2.5
04/25	M&M	            EQ	        853.85	        838.55	          1.82
04/25	HCLTECH	            EQ	       1068.80	       1061.95	           .65
04/25	BPCL	            EQ	        385.80	        383.70	           .55

04/26	YESBANK	            EQ	        352.40	        325.25	          8.35
04/26	HINDUNILVR	            EQ	       1491.25	       1459.20	           2.2
04/26	TCS	            EQ	       3539.25	       3470.25	          1.99
04/26	INDUSINDBK	            EQ	       1881.90	       1847.75	          1.85
04/26	KOTAKBANK	            EQ	       1185.70	       1167.85	          1.53

04/27	AXISBANK	            EQ	        539.20	        493.75	          9.21
04/27	SBIN	            EQ	        242.60	        233.20	          4.03
04/27	ICICIBANK	            EQ	        287.90	        278.85	          3.25
04/27	HINDPETRO	            EQ	        305.95	        296.35	          3.24
04/27	LT	            EQ	       1377.75	       1347.20	          2.27

04/30	YESBANK	            EQ	        362.00	        348.90	          3.75
04/30	HINDUNILVR	            EQ	       1508.90	       1473.95	          2.37
04/30	TCS	            EQ	       3532.10	       3451.95	          2.32
04/30	KOTAKBANK	            EQ	       1211.10	       1188.75	          1.88
04/30	ASIANPAINT	            EQ	       1201.70	       1181.60	           1.7

05/02	KOTAKBANK	            EQ	       1256.85	       1211.10	          3.78
05/02	ITC	            EQ	        287.25	        281.45	          2.06
05/02	ASIANPAINT	            EQ	       1222.30	       1201.70	          1.71
05/02	HDFC	            EQ	       1910.60	       1883.25	          1.45
05/02	ZEEL	            EQ	        596.30	        588.05	           1.4

05/03	SUNPHARMA	            EQ	        536.00	        515.20	          4.04
05/03	INFRATEL	            EQ	        324.95	        313.80	          3.55
05/03	NTPC	            EQ	        174.30	        170.40	          2.29
05/03	TATASTEEL	            EQ	        585.45	        574.50	          1.91
05/03	AXISBANK	            EQ	        533.40	        523.75	          1.84

05/04	ADANIPORTS	            EQ	        408.25	        397.00	          2.83
05/04	GAIL	            EQ	        329.75	        323.15	          2.04
05/04	TECHM	            EQ	        662.65	        652.95	          1.49
05/04	HDFCBANK	            EQ	       1988.50	       1967.90	          1.05
05/04	HINDUNILVR	            EQ	       1464.20	       1452.20	           .83

05/07	GAIL	            EQ	        343.80	        329.75	          4.26
05/07	M&M	            EQ	        885.60	        854.30	          3.66
05/07	AXISBANK	            EQ	        536.10	        520.30	          3.04
05/07	HINDALCO	            EQ	        237.85	        231.35	          2.81
05/07	TATASTEEL	            EQ	        596.45	        580.75	           2.7

05/08	ICICIBANK	            EQ	        309.30	        289.80	          6.73
05/08	HINDPETRO	            EQ	        307.00	        297.00	          3.37
05/08	EICHERMOT	            EQ	      30427.05	      29766.85	          2.22
05/08	BPCL	            EQ	        392.60	        385.80	          1.76
05/08	POWERGRID	            EQ	        212.75	        209.30	          1.65

05/09	TATAMOTORS	            EQ	        341.95	        332.15	          2.95
05/09	TITAN	            EQ	        985.70	        968.10	          1.82
05/09	TCS	            EQ	       3489.30	       3441.20	           1.4
05/09	UPL	            EQ	        731.30	        721.50	          1.36
05/09	YESBANK	            EQ	        347.85	        343.30	          1.33

05/10	ONGC	            EQ	        188.25	        182.85	          2.95
05/10	BHARTIARTL	            EQ	        412.10	        402.45	           2.4
05/10	TECHM	            EQ	        663.60	        654.10	          1.45
05/10	HINDALCO	            EQ	        241.30	        238.15	          1.32
05/10	BPCL	            EQ	        390.20	        385.45	          1.23

05/11	ASIANPAINT	            EQ	       1286.45	       1217.70	          5.65
05/11	HINDPETRO	            EQ	        318.75	        307.90	          3.52
